network,park,transect_id,lat,long
gryn,GYE,1830_1,45.14575858,-111.4470378
gryn,GYE,2673_4,45.05359197,-110.5896075
gryn,GYE,5896_3,44.42658015,-110.6768108
gryn,GYE,5642_1,44.55090476,-111.4759241
gryn,GYE,5653_1,44.51098539,-112.0244087
gryn,GYE,531_1,45.24255064,-111.1394327
gryn,GYE,4095_1,44.86267134,-111.1610687
gryn,GYE,3567_1,45.30787204,-111.3032573
gryn,GYE,11390_1,42.4003073,-110.6110649
gryn,GYE,20400_4,42.39353768,-110.6145937
gryn,GYE,11441_1,42.32822176,-110.6270571
gryn,GYE,3641_1,45.30367946,-111.0961119
gryn,GYE,760_1,45.23826329,-111.1261972
gryn,GYE,1095_1,45.2091797,-110.2362589
gryn,GYE,13331_1,45.12741283,-109.4187255
gryn,GYE,3152_2,44.99599741,-110.9219237
gryn,GYE,7019_1,43.70795639,-109.9343958
gryn,GYE,7019_2,43.70824019,-109.9339316
gryn,GYE,8617_1,43.71110502,-110.0960527
gryn,GYE,5446_2,44.79951046,-111.9021019
gryn,GYE,5446_5,44.80147475,-111.899591
gryn,GYE,13342_5,45.12918684,-111.9545385
gryn,GYE,1789_1,45.41668715,-110.88023
gryn,GYE,251_2,45.30366037,-110.4042434
gryn,GYE,214_1,45.30595857,-110.3996272
gryn,GYE,2953_1,45.3431626,-111.2944595
gryn,GYE,6949_1,44.17259602,-110.0500166
gryn,GYE,1424_1,45.43391328,-111.0677076
gryn,GYE,4897_1,44.91596121,-109.3577059
gryn,GYE,3683_1,44.89887478,-109.456389
gryn,GYE,8392_3,42.99702503,-109.7084474
gryn,GYE,1834_1,45.41076535,-111.3202036
gryn,GYE,5743_3,43.9293852,-109.2890404
gryn,GYE,1172_1,45.44493056,-111.0818123
gryn,GYE,1172_5,45.44425579,-111.081351
gryn,GYE,1261_1,45.44309329,-110.9167828
gryn,GYE,4299_1,44.81827008,-110.4466886
gryn,GYE,4119_1,44.85520037,-110.2909314
